longitude,latitude,StationID,Power,Quality,num_measures,Code,record_tstamp
-123.134702,49.282954,40119,-65.9474,-8.2907,2,ABC4010540119,3/12/2011 14:00
-123.102886,49.264776,31059,,-18.8065,1,ABC3104531059,4/12/2011 13:47
-123.124095,49.265919,40209,-50.6861,-4.9664,1,ABC4019540209,3/12/2011 15:50
-123.150437,49.268976,10706,-78.6148,-22.3844,2,ABC106910706,6/12/2011 1:37
-123.082662,49.27736,1305,-57.6116,-8.9973,1,ABC012911305,6/12/2011 17:22
-123.126077,49.286602,32247,-75.547,,1,ABC3223332247,6/12/2011 17:38
-123.130046,49.287836,10728,-87.8897,-14.4546,2,ABC1071410728,5/12/2011 22:18
-123.120231,49.288678,1210,-62.6278,-8.4451,5,ABC011961210,4/12/2011 16:11
-123.093466,49.282172,40420,-59.5697,-9.3637,2,ABC4040640420,6/12/2011 17:52
-123.14112,49.260946,31397,-68.8166,-21.6302,1,ABC3138331397,6/12/2011 17:20
-123.083952,49.270145,35245,-63.1831,-15.9456,1,ABD3523135245,1/12/2011 18:06
-123.116739,49.279366,30659,-76.5015,-15.9617,3,ABC3064530659,5/12/2011 20:27
-123.149572,49.310442,5241,-105.0341,-17.3022,1,ABD052275241,6/12/2011 17:20
-123.125804,49.257119,43356,-67.9509,-14.6642,1,ABD433443356,2/12/2011 19:34
-123.159678,49.264847,5287,-94,-12.4524,3,ABD052735287,5/12/2011 21:25
-123.098643,49.284078,1030,-57.3491,-21.4492,1,ABC010161030,1/12/2011 23:50
-123.117364,49.288649,,-119.6362,-19.7771,1,ABD3523935253,5/12/2011 18:14
-123.141175,49.259448,10712,-76.9931,-17.3215,2,ABC1069810712,6/12/2011 1:35
-123.127287,49.291211,36397,-70.3323,-17.1124,1,ABD3638336397,1/12/2011 23:35
-123.124937,49.278418,37055,-82.7883,-21.3284,2,ABD3704137055,1/12/2011 17:14
-123.113107,49.257677,36317,-54.3742,-11.8967,12,ABD3630336317,1/12/2011 22:39
-123.142105,49.261768,36547,-55.6925,-21.5955,3,ABD3653336547,1/12/2011 20:04
-123.131628,49.28623,1268,-66.2924,-21.9557,1,ABC012541268,1/12/2011 23:35
-123.133469,49.287113,30406,-67.5123,-19.9306,2,ABC303930406,5/12/2011 21:02
-123.154053,49.260079,31940,-47.1991,-8.2605,11,ABC3192631940,7/12/2011 20:24
-123.095991,49.269529,36076,-66.7535,-19.7356,1,ABD360636076,4/12/2011 16:21
-123.125608,49.286912,926,-78.3282,-15.2777,1,ABC0091926,4/12/2011 1:04
-123.117542,49.262173,30980,-84.4001,-19.4323,1,ABC3096630980,4/12/2011 1:04
-123.119255,49.278909,40525,-58.5179,-10.0415,5,ABC4051140525,1/12/2011 21:40
-123.123921,49.289143,31026,-74.2009,-17.7869,2,ABC310131026,4/12/2011 16:11
-123.135456,49.283141,55215,-87.4491,-20.0123,2,ABC5520155215,7/12/2011 18:13
-123.118758,49.274528,35253,-108.8547,-22.1249,1,ABD3523935253,5/12/2011 19:19
-123.161911,49.267418,37006,-70.3879,-11.5146,2,ABD369937006,7/12/2011 21:08
-123.14439,49.263692,170,-61.5692,-18.5798,1,ABC00156170,3/12/2011 14:51
-123.080788,49.259648,5845,-65.0881,-13.7531,1,ABD058315845,1/12/2011 23:22
-123.15536,49.262164,5165,-59.6566,-18.9738,1,ABD051515165,4/12/2011 16:39
-123.079027,49.282293,31289,-82.2058,-8.7997,1,ABC3127531289,2/12/2011 19:12
-123.104245,49.283918,36297,,-14.3711,2,ABD3628336297,1/12/2011 20:05
-123.106227,49.270927,31887,-82.0957,-22.0304,2,ABC3187331887,5/12/2011 20:42
-123.123006,49.275424,35276,-33.2054,-12.3618,1,ABD352635276,1/12/2011 21:32
-123.085308,49.259031,36097,-74.5804,-12.5076,61,ABD3608336097,4/12/2011 9:00
-123.107616,49.280039,88,-61.3882,-21.8357,2,ABC0007488,2/12/2011 23:28
-123.182758,49.261601,37006,-65.0097,-11.338,2,ABD369937006,2/12/2011 23:28
-123.113132,49.256997,31986,-74.2704,-17.6848,1,ABC319731986,5/12/2011 21:17
-123.12669,49.288254,30736,-66.9192,-7.16,4,ABC30730736,6/12/2011 13:53
-123.120098,49.290045,36893,-98.055,-20.1187,1,ABD3687936893,4/12/2011 1:15
-123.108211,49.270963,896,-67.455,-13.0929,1,ABC0088896,6/12/2011 21:37
-123.082621,49.282675,5266,-81.4544,-22.8886,1,ABD05255266,6/12/2011 21:37
-123.184513,49.261628,31915,-73.7977,,1,ABC3190131915,4/12/2011 20:24
-123.118053,49.269142,31306,-59.9451,-17.2711,3,ABC312931306,1/12/2011 23:22
-123.077636,49.276761,1277,-77.3531,-16.3202,2,ABC012631277,5/12/2011 19:20
-123.146272,49.274919,36282,-62.8445,-12.9567,1,ABD3626836282,5/12/2011 15:35
-123.145598,49.269133,6715,-60.9535,-17.9883,1,ABD067016715,7/12/2011 21:13
-123.177577,49.258805,37,-35.5182,-10.289,1,ABC0002337,4/12/2011 0:26
-123.137502,49.290107,6207,-70.7262,-23.2823,1,ABD061936207,4/12/2011 14:14
-123.185099,49.269507,6402,-80.6294,-7.755,1,ABD063886402,7/12/2011 14:48
-123.136921,49.265322,6475,-70.7274,-19.6082,1,ABD064616475,2/12/2011 23:03
-123.101309,49.276793,166,-72.0667,-10.9668,2,ABC0015166,3/12/2011 14:51
-123.147484,49.27679,5267,-69.7783,-19.7951,1,ABD052535267,3/12/2011 15:20
-123.159092,49.266515,905,-67.1247,-11.89,2,ABC00891905,6/12/2011 1:48
-123.125715,49.290522,30488,-62.567,-20.3797,1,ABC3047430488,3/12/2011 15:06
-123.116606,49.288458,1079,-51.3986,-19.7381,1,ABC010651079,5/12/2011 16:45
-123.157686,49.263391,830,-46.1326,-15.0471,66,ABC00816830,7/12/2011 20:22
-123.149467,49.258164,36077,-66.508,-19.0749,2,ABD3606336077,7/12/2011 1:28
-123.126343,49.289268,31509,-83.3356,-20.366,1,ABC3149531509,4/12/2011 1:39
-123.152911,49.264282,6401,-90.6239,-17.7063,1,ABD063876401,7/12/2011 14:26
-123.088943,49.282993,36076,,-19.8119,1,ABD360636076,5/12/2011 21:32
-123.082099,49.25785,1332,-82.1869,-20.3943,1,ABC013181332,7/12/2011 18:49
-123.166318,49.261915,30375,-71.1795,-17.2862,1,ABC3036130375,6/12/2011 20:08
-123.114358,49.282415,35576,-85.4812,-21.1543,1,ABD355635576,6/12/2011 20:08
-123.128148,49.289799,36336,-64.6987,-19.6794,2,ABD36336336,1/12/2011 21:19
-123.096167,49.266541,31457,-63.7734,-19.1639,2,ABC3144331457,1/12/2011 21:55
-123.124124,49.26517,1339,-62.7924,-19.2893,1,ABC013251339,1/12/2011 21:55
-123.120271,49.265055,35246,-74.4065,-13.6076,1,ABD352335246,6/12/2011 20:54
-123.13806,49.280201,10218,-89.1109,-11.5518,2,ABC1020410218,7/12/2011 18:16
-123.08193,49.269693,55215,-71.937,-20.4952,1,ABC5520155215,7/12/2011 18:18
-123.141772,49.272001,1198,-68.2677,-15.0781,1,ABC011841198,4/12/2011 1:18
-123.138801,49.25709,287,-61.5731,-18.5467,2,ABC00273287,6/12/2011 21:31
-123.126775,49.288088,6357,-74.1022,-17.6264,1,ABD063436357,1/12/2011 17:49
-123.140929,49.291697,36492,-74.2817,-18.4839,1,ABD3647836492,3/12/2011 13:24
-123.101575,49.28438,31480,-79.617,-17.3224,2,ABC3146631480,7/12/2011 14:23
-123.178694,49.258823,6076,-43.0828,-20.9327,2,ABD06066076,6/12/2011 19:43
-123.170761,49.271078,43117,-60.0635,-10.2445,3,ABD4310343117,3/12/2011 14:00
-123.179864,49.263764,31539,-64.2984,-15.0953,2,ABC3152531539,2/12/2011 22:21
-123.161138,49.267406,10726,-66.0518,-8.0128,1,ABC107110726,5/12/2011 22:14
-123.134119,49.282275,31048,-59.2541,-11.1022,2,ABC3103431048,4/12/2011 14:10
-123.110266,49.256786,1358,-49.1079,-6.5343,3,ABC013441358,7/12/2011 18:22
-123.118158,49.298282,35345,-83.2366,-18.7267,1,ABD3533135345,7/12/2011 18:46
-123.14125,49.257445,36046,-86.2135,-17.6972,2,ABD360336046,1/12/2011 17:41
-123.129535,49.273271,31137,-65.7106,-9.7289,2,ABC3112331137,7/12/2011 21:16
-123.139514,49.284656,43465,-77.2499,-13.6458,2,ABD4345143465,1/12/2011 21:12
-123.096222,49.284674,31717,-72.2243,-12.5335,1,ABC3170331717,4/12/2011 13:59
-123.122629,49.266958,30506,-73.5059,-15.1874,2,ABC304930506,4/12/2011 14:10
-123.105407,49.281666,458,-60.7927,-4.647,1,ABC00444458,1/12/2011 17:42
-123.132508,49.275175,31077,-63.1909,-20.9766,2,ABC3106331077,7/12/2011 1:26
-123.136599,49.283498,31480,-72.5127,-16.6436,3,ABC3146631480,7/12/2011 14:25
-123.117782,49.274595,31658,-54.9214,-11.5734,1,ABC3164431658,7/12/2011 18:51
-123.086653,49.272787,35402,-94.4164,-20.0901,1,ABD3538835402,7/12/2011 1:31
-123.121483,49.276184,31165,-66.7733,-22.5149,1,ABC3115131165,2/12/2011 22:21
-123.150665,49.26724,30339,-52.3659,-21.8719,6,ABC3032530339,1/12/2011 23:52
-123.092894,49.257699,70,-53.4615,-6.116,2,ABC0005670,4/12/2011 0:29
-123.132437,49.285361,31057,-55.358,-13.6285,1,ABC3104331057,4/12/2011 13:46
-123.079255,49.279114,639,-66.9404,-12.7226,1,ABC00625639,4/12/2011 20:20
-123.08928,49.282094,1367,-72.3496,-17.5925,1,ABC013531367,2/12/2011 0:00
-123.146531,49.311779,5287,-80.6509,-21.078,1,ABD052735287,6/12/2011 1:41
-123.162395,49.264186,30368,-67.0648,-13.2612,4,ABC3035430368,5/12/2011 1:50
-123.148347,49.257898,32295,-80.673,-17.2994,5,ABC3228132295,7/12/2011 1:16
-123.157836,49.29869,10727,-83.2474,-14.5114,2,ABC1071310727,5/12/2011 22:23
-123.096467,49.257568,35553,-93.7643,-15.4384,1,ABD3553935553,7/12/2011 16:12
-123.177729,49.270284,68,-68.7771,-18.1519,1,ABC0005468,4/12/2011 0:27
-123.16719,49.262264,10709,-75.5765,-15.8091,3,ABC1069510709,6/12/2011 1:33
-123.114858,49.270475,10730,-84.365,-21.8736,1,ABC1071610730,6/12/2011 1:33
-123.177622,49.270323,30295,-75.549,-19.9092,1,ABC3028130295,7/12/2011 14:23
-123.175821,49.259683,43411,-121.6565,-23.2785,1,ABD4339743411,4/12/2011 21:59
-123.101751,49.272753,35423,-95.4246,-17.7899,1,ABD3540935423,2/12/2011 19:11
-123.102549,49.283695,30319,-63.3568,-16.4603,3,ABC3030530319,3/12/2011 15:01
-123.082691,49.274757,1206,-65.4891,-6.0406,1,ABC01191206,1/12/2011 18:06
-123.147733,49.274314,6266,,-16.0181,2,ABD06256266,1/12/2011 23:34
-123.159936,49.266601,6361,-76.3514,-15.5391,1,ABD063476361,6/12/2011 20:14
-123.097532,49.265445,6363,-81.6939,-16.3158,1,ABD063496363,6/12/2011 20:14
-123.089484,49.282227,30629,-66.1361,-4.7474,1,ABC3061530629,6/12/2011 20:57
-123.12765,49.27241,15187,-64.165,-11.4238,1,ABD1517315187,3/12/2011 17:10
-123.104588,49.271262,40789,-71.8041,-17.682,3,ABC4077540789,3/12/2011 12:56
-123.128449,49.267127,31688,-73.8731,-17.6216,2,ABC3167431688,7/12/2011 1:13
-123.129538,49.267967,35735,-54.9727,-15.6208,1,ABD3572135735,6/12/2011 19:47
-123.102679,49.269738,43132,-95.1322,-19.4632,1,ABD4311843132,5/12/2011 17:28
-123.098187,49.284945,30276,-71.2929,-20.8707,1,ABC302630276,4/12/2011 20:13
-123.1178,49.274734,35411,-60.3623,-15.5649,1,ABD3539735411,3/12/2011 1:09
-123.131326,49.264321,35615,-80.9946,-16.2088,1,ABD3560135615,3/12/2011 15:18
-123.099816,49.277584,40582,-117.3753,-17.7982,1,ABC4056840582,5/12/2011 22:15
-123.125387,49.284227,31508,-70.4837,-13.2019,2,ABC3149431508,5/12/2011 16:42
-123.133797,49.274101,5856,-83.2502,-17.3485,1,ABD05845856,4/12/2011 16:09
-123.13274,49.281382,600,-82.8208,-14.6389,1,ABC00586600,5/12/2011 17:28
-123.103855,49.265561,1396,-72.9747,-18.9419,1,ABC01381396,5/12/2011 19:28
-123.143609,49.257848,32059,-79.0362,-17.7901,2,ABC3204532059,3/12/2011 15:12
-123.143637,49.25807,259,-41.0959,-11.189,3,ABC00245259,4/12/2011 0:17
-123.130652,49.281422,43467,-64.6683,-19.6602,4,ABD4345343467,1/12/2011 22:39
-123.147742,49.27408,30335,-64.4562,-18.4733,2,ABC3032130335,1/12/2011 23:59
-123.129091,49.276532,31317,,-17.561,2,ABC3130331317,7/12/2011 20:24
-123.134803,49.289837,35602,-99.1196,-19.5557,1,ABD3558835602,5/12/2011 19:25
-123.094882,49.265081,6362,-96.4672,-4.6195,1,ABD063486362,1/12/2011 17:56
-123.078132,49.260532,31287,-70.1652,-11.8434,1,ABC3127331287,2/12/2011 19:15
-123.119825,49.262331,36082,-103.6046,-20.4332,1,ABD3606836082,3/12/2011 15:15
-123.141493,49.270896,35577,-57.2953,-13.9369,2,ABD3556335577,4/12/2011 0:26
-123.166362,49.2607,30505,-67.9996,-19.2975,2,ABC3049130505,1/12/2011 17:34
-123.098333,49.258377,36976,-86.9274,-14.3812,3,ABD369636976,6/12/2011 13:28
-123.135065,49.267452,1207,-69.2798,-21.3825,1,ABC011931207,4/12/2011 16:10
-123.093927,49.2668,5235,-73.462,-22.6058,1,ABD052215235,5/12/2011 19:28
-123.117886,49.286625,55217,-72.6201,-19.3934,2,ABC5520355217,4/12/2011 0:45
-123.118034,49.28742,35027,-60.7435,-8.9324,2,ABD3501335027,6/12/2011 14:50
-123.107008,49.265618,167,-61.9091,-22.0031,2,ABC00153167,1/12/2011 17:17
-123.125029,49.288419,31029,-78.0791,-11.8189,3,ABC3101531029,4/12/2011 16:09
-123.078582,49.265193,31619,-76.3096,-19.28,2,ABC3160531619,5/12/2011 19:19
-123.138904,49.263604,5286,-68.5149,-16.4849,2,ABD05275286,6/12/2011 1:32
-123.100688,49.284044,1400,-71.1966,-19.3958,4,ABC013861400,7/12/2011 14:51
-123.089274,49.276571,10709,-78.356,-17.9475,2,ABC1069510709,5/12/2011 22:42
-123.150978,49.257247,35397,-66.9281,-15.68,1,ABD3538335397,3/12/2011 13:13
-123.13476,49.2813,36082,-79.5965,-20.267,1,ABD3606836082,3/12/2011 14:51
-123.090045,49.256807,1719,-71.0928,-18.7575,5,ABC017051719,4/12/2011 14:18
-123.104934,49.269245,40187,-68.5818,-20.2254,1,ABC4017340187,5/12/2011 19:28
-123.133947,49.271116,43122,-81.7285,-14.9612,32,ABD4310843122,4/12/2011 16:41
-123.173779,49.260557,36613,-91.0401,-14.8093,1,ABD3659936613,1/12/2011 21:57
-123.097075,49.282238,610,-58.8998,-22.5443,1,ABC00596610,4/12/2011 14:06
-123.146222,49.292887,40219,,-4.792,1,ABC4020540219,3/12/2011 19:16
-123.140097,49.267679,1536,-47.7763,-14.0225,2,ABC0151536,3/12/2011 14:31
-123.137705,49.28181,35547,-45.6703,-13.7384,2,ABD3553335547,6/12/2011 19:54
-123.152906,49.264424,30946,-72.884,-22.6789,1,ABC309330946,7/12/2011 19:04
-123.177812,49.271559,636,-70.0408,-19.2693,1,ABC006636,2/12/2011 18:58
-123.125087,49.263382,31307,-62.9775,-22.5411,2,ABC3129331307,6/12/2011 15:21
-123.07797,49.259625,40366,-62.1803,-19.2366,1,ABC403540366,6/12/2011 15:22
-123.115052,49.288037,31506,-57.5149,-12.9229,1,ABC314931506,5/12/2011 18:49
-123.083141,49.279296,5606,-58.3605,-9.5573,3,ABD05595606,4/12/2011 14:08
-123.1328,49.289772,31659,-60.5298,-20.8466,1,ABC3164531659,4/12/2011 14:06
-123.132758,49.275337,40119,-64.3059,-19.9898,2,ABC4010540119,3/12/2011 13:55
-123.136675,49.309213,30627,-77.7889,-20.7607,1,ABC3061330627,7/12/2011 18:18
-123.155738,49.297917,32300,-51.1865,-13.7593,1,ABC3228632300,7/12/2011 1:48
-123.182002,49.260115,31479,-70.0706,-4.0794,1,ABC3146531479,1/12/2011 20:48
-123.119556,49.27698,31307,-61.7851,-7.156,2,ABC3129331307,6/12/2011 15:23
-123.082037,49.256854,32278,-73.7227,-18.2217,4,ABC3226432278,7/12/2011 15:55
-123.160142,49.261084,1500,-69.9358,-20.2446,1,ABC014861500,1/12/2011 19:51
-123.117366,49.288664,1333,-90.9199,-20.8571,1,ABC013191333,5/12/2011 16:29
-123.095405,49.266811,30950,-75.3024,-21.435,1,ABC3093630950,7/12/2011 18:37
-123.08297,49.282998,6573,-84.7863,-17.6184,1,ABD065596573,1/12/2011 19:52
-123.123632,49.26427,36686,-68.6511,-20.9041,1,ABD366736686,2/12/2011 23:31
-123.174435,49.270232,36082,-98.7631,-15.5899,1,ABD3606836082,5/12/2011 21:28
-123.101102,49.279507,31245,-48.3852,-21.824,2,ABC3123131245,5/12/2011 16:30
-123.138173,49.262626,35701,-97.2542,-20.2919,1,ABD3568735701,1/12/2011 20:46
-123.159605,49.266524,35702,-88.9047,-20.0978,1,ABD3568835702,6/12/2011 19:44
-123.126794,49.257876,36506,-75.3322,-15.6056,3,ABD364936506,4/12/2011 1:37
-123.133985,49.274219,1360,-59.1369,-12.829,1,ABC013461360,7/12/2011 18:23
-123.125921,49.286706,1439,-70.465,-4.543,1,ABC014251439,4/12/2011 0:43
-123.160182,49.25999,30406,-64.6851,-14.3706,4,ABC303930406,3/12/2011 14:06
-123.171007,49.26412,31246,-77.321,-19.8278,1,ABC312331246,4/12/2011 1:45
-123.092957,49.264432,258,-64.2295,-21.0706,1,ABC00244258,1/12/2011 21:12
-123.153066,49.259885,32327,-74.9931,-22.6562,1,ABC3231332327,7/12/2011 14:21
-123.137977,49.283381,10688,-85.7441,-18.011,2,ABC1067410688,4/12/2011 16:27
-123.130605,49.28696,30659,,-13.3676,2,ABC3064530659,4/12/2011 0:42
-123.166287,49.270523,31143,-65.9051,-11.9015,1,ABC3112931143,3/12/2011 0:52
-123.133083,49.277431,32047,-65.2198,-7.2889,5,ABC3203332047,4/12/2011 13:33
-123.158081,49.300232,30617,-79.0854,-14.0077,2,ABC3060330617,5/12/2011 21:05
-123.126871,49.272925,36465,-62.3928,-6.8295,3,ABD3645136465,3/12/2011 15:11
-123.106572,49.270933,35547,-69.0392,-9.517,2,ABD3553335547,7/12/2011 16:09
-123.109351,49.278385,36102,-67.9201,-18.142,1,ABD3608836102,2/12/2011 22:51
-123.162606,49.258574,31159,-54.0662,-12.6902,1,ABC3114531159,7/12/2011 20:57
-123.150948,49.26003,5266,-89.5555,-18.7676,2,ABD05255266,5/12/2011 22:14
-123.15789,49.257938,31935,-69.2679,-17.3197,3,ABC3192131935,4/12/2011 1:39
-123.162523,49.260783,1508,-78.1079,-15.9399,2,ABC014941508,7/12/2011 18:28
-123.113101,49.257834,35656,-92.006,-15.2839,1,ABD356435656,4/12/2011 0:43
-123.114086,49.273795,31139,-44.4122,-9.7608,3,ABC3112531139,3/12/2011 0:54
-123.114228,49.282212,32246,-76.9101,-12.4659,5,ABC322332246,7/12/2011 20:56
-123.093845,49.266175,35697,-65.2377,-10.6239,6,ABD3568335697,7/12/2011 14:25
-123.165122,49.270105,6567,-95.4616,-21.6813,1,ABD065536567,4/12/2011 1:02
-123.09363,49.276604,6565,-84.7727,-21.4659,2,ABD065516565,8/12/2011 22:25
-123.158544,49.263918,36335,-51.6146,-15.347,5,ABD3632136335,6/12/2011 13:30
-123.128127,49.274579,1196,-73.1563,-23.5015,1,ABC01181196,4/12/2011 1:02
-123.127625,49.275987,35543,-101.9332,-15.7884,3,ABD3552935543,6/12/2011 13:40
-123.138621,49.261917,40468,-76.005,-19.5614,1,ABC4045440468,6/12/2011 18:16
-123.145649,49.266301,36613,-96.7804,-21.9154,1,ABD3659936613,5/12/2011 16:43
-123.161435,49.266553,908,-73.857,-15.4795,1,ABC00894908,6/12/2011 1:54
-123.12682,49.283118,30585,-60.1274,-9.5744,35,ABC3057130585,6/12/2011 16:58
-123.114045,49.264844,1020,-59.1209,-18.661,1,ABC010061020,4/12/2011 13:54
-123.138852,49.283948,40420,-66.0678,-21.2446,1,ABC4040640420,6/12/2011 18:23
-123.169444,49.269281,32267,-69.1117,-21.813,1,ABC3225332267,7/12/2011 16:06
-123.128821,49.301898,30118,-87.2113,-20.4333,1,ABC3010430118,2/12/2011 19:17
-123.172864,49.263276,36076,-65.7252,-17.8794,1,ABD360636076,3/12/2011 15:18
-123.149791,49.257228,1308,-43.8456,-14.8187,2,ABC012941308,6/12/2011 17:23
-123.115185,49.267989,285,-68.0175,-7.8347,3,ABC00271285,6/12/2011 1:37
-123.166399,49.267308,6076,-76.6836,-19.9055,2,ABD06066076,5/12/2011 18:37
-123.152793,49.267416,36506,-80.7316,-17.8477,2,ABD364936506,5/12/2011 18:37
-123.087497,49.27835,10725,-74.5834,-18.7062,1,ABC1071110725,5/12/2011 22:22
-123.116124,49.282517,5286,-84.635,-10.8792,1,ABD05275286,5/12/2011 22:22
-123.121745,49.26541,1412,-72.7991,-20.5008,1,ABC013981412,6/12/2011 17:52
-123.13917,49.284884,36457,-66.3265,-15.4956,3,ABD3644336457,1/12/2011 21:59
-123.107003,49.259063,30489,-70.6095,-12.5497,1,ABC3047530489,5/12/2011 21:05
-123.089397,49.284216,36951,-82.5109,-14.8821,1,ABD3693736951,2/12/2011 0:00
-123.11978,49.272958,30486,-74.6708,-10.7254,2,ABC304730486,4/12/2011 16:14
-123.118922,49.259516,31546,-59.8262,-14.516,1,ABC315331546,1/12/2011 20:11
-123.104471,49.284831,259,-51.1283,-7.6276,4,ABC00245259,4/12/2011 14:30
-123.166881,49.262259,5823,,-7.8187,1,ABD058095823,7/12/2011 20:12
-123.088936,49.283898,30247,-54.8705,-17.1273,1,ABC3023330247,6/12/2011 20:14
-123.141463,49.268832,5607,-84.6465,-21.6733,3,ABD055935607,7/12/2011 18:48
-123.147991,49.267416,10707,-70.3854,-12.8107,1,ABC1069310707,6/12/2011 1:41
-123.129536,49.281481,40528,-50.7372,-6.06,2,ABC4051440528,1/12/2011 21:24
-123.146895,49.262766,40148,-40.6737,-6.4768,6,ABC4013440148,3/12/2011 14:55
-123.078694,49.272173,31038,-71.011,-15.3684,3,ABC3102431038,6/12/2011 18:15
-123.133733,49.267875,35616,-80.5395,-8.6,1,ABD356035616,5/12/2011 21:04
-123.133423,49.288784,460,-61.737,-11.6072,2,ABC00446460,1/12/2011 17:45
-123.106797,49.266518,31080,-78.463,-19.1645,2,ABC3106631080,7/12/2011 1:20
-123.176707,49.271177,35405,-65.6765,-11.9133,3,ABD3539135405,3/12/2011 13:47
-123.119767,49.287928,5823,-107.3641,-21.6951,2,ABD058095823,7/12/2011 20:14
-123.11693,49.265001,5266,-76.0508,-23.9857,1,ABD05255266,5/12/2011 21:15
-123.098842,49.265688,36465,-77.867,-13.315,1,ABD3645136465,4/12/2011 16:29
-123.151376,49.275942,31316,-50.4345,-12.0175,5,ABC313031316,1/12/2011 22:28
-123.121549,49.286009,30739,-56.7721,-5.1846,2,ABC3072530739,6/12/2011 19:47
-123.081472,49.257356,5856,-81.7822,-18.2792,1,ABD05845856,4/12/2011 16:09
-123.147813,49.272204,31619,-70.6381,-11.1099,3,ABC3160531619,5/12/2011 19:19
-123.079999,49.286767,31058,-77.5229,-16.5957,2,ABC3104431058,5/12/2011 1:47
-123.106023,49.285227,6437,-71.318,-13.3291,1,ABD064236437,6/12/2011 13:35
-123.114754,49.283423,35323,-96.7628,-22.463,1,ABD3530935323,1/12/2011 23:45
-123.170522,49.26751,825,-49.304,-17.9286,2,ABC00811825,4/12/2011 14:02
-123.149976,49.272498,31960,-54.3496,-19.1713,9,ABC3194631960,4/12/2011 14:27
-123.133943,49.263524,1478,-88.1254,-19.3593,1,ABC014641478,7/12/2011 1:18
-123.135338,49.278888,30620,-57.3306,-8.8833,3,ABC3060630620,3/12/2011 15:15
-123.127624,49.300315,40326,-84.3101,-17.3966,2,ABC403140326,5/12/2011 18:16
-123.129916,49.274245,40186,-70.5682,-21.2368,1,ABC401740186,5/12/2011 19:19
-123.129079,49.257044,32338,-73.7226,-14.7984,2,ABC3232432338,4/12/2011 1:07
-123.112034,49.258685,43266,-81.2602,-21.2649,1,ABD432543266,3/12/2011 15:58
-123.099187,49.262847,287,-64.0654,-22.2506,2,ABC00273287,6/12/2011 21:26
-123.088842,49.270907,35536,-75.488,-17.9157,1,ABD35535536,6/12/2011 13:35
-123.128946,49.296786,458,-77.8191,-17.9414,2,ABC00444458,4/12/2011 14:16
